id;Expert Analysis;Fuzzy Analysis
1;Good;Excellent
2;Good;Excellent
3;Excellent;Excellent
4;Bad;Bad
5;Good;Excellent
6;Good;Good
7;Good;Good
8;Neutral;Bad
9;Good;Good
10;Good;Excellent
11;Good;Good
12;Good;Bad
13;Good;Good
14;Good;Bad
15;Good;Bad
16;Good;Bad
17;Good;Bad
18;Good;Excellent
19;Excellent;Good
20;Bad;Bad
21;Bad;Bad
22;Neutral;Bad
23;Good;Good
24;Good;Good
25;Good;Good
26;Excellent;Excellent
27;Excellent;Excellent
28;Good;Good
29;Bad;Bad
30;Good;Excellent
31;Excellent;Excellent
32;Bad;Very poor
33;Good;Excellent
34;Excellent;Excellent
35;Good;Bad
36;Good;Excellent
37;Good;Bad
38;Good;Excellent
39;Good;Excellent
40;Excellent;Excellent
41;Good;Excellent
42;Good;Bad
43;Good;Bad
44;Excellent;Excellent
45;Good;Bad
46;Bad;Bad
47;Good;Bad
48;Good;Good
49;Good;Good
50;Neutral;Bad
51;Excellent;Excellent
52;Good;Excellent
53;Excellent;Excellent
54;Good;Excellent
55;Good;Bad
56;Good;Bad
57;Neutral;Bad
58;Good;Good
59;Excellent;Excellent
60;Bad;Bad
61;Good;Bad
62;Good;Good
63;Excellent;Excellent
64;Neutral;Bad
65;Good;Good
66;Neutral;Bad
67;Good;Bad
68;Excellent;Excellent
69;Good;Bad
70;Good;Bad
71;Good;Good
